restaurant_name,location,cuisine,michelin_stars,google_rating,total_google_reviews,reviewer,rating,review_text,date,language
Seifu,"Bangkok, Thailand",Japanese,0,4.7,485,Curt P,5,"Wow - better tasting Thai food than most hotels, which tends to water down Thai flavors for fear tourists can’t handle real Thai food.  We’ve been to Thailand for over 20 years and the Thai food here is as good as any good Thai restaurants in Bangkok!  They got a really good chef here - some of our fav dishes are the tom yum shrimp soup, the fried turmeric fish & the sliced beef over flavored steamed rice.
The restaurant is in the lobby of the cool & modern ASAI boutique hotel (a Dusit brand/property, barely 5 minutes walk from the Saint Louis BTS skytrain station.
Staff (Khun Guide, Elle, & Nae Nae were great) speak English well & are welcoming & friendly/helpful. We’ll be back!",a month ago,en
Seifu,"Bangkok, Thailand",Japanese,0,4.7,485,Vincent L,5,A clean and cosy boutique hotel that is value for your money. The breakfast is delicious and I especially like the Crispy Chicken & Egg set and the Chicken Boiled Rice. The staff is friendly and helpful. The room is well maintained and kept clean and tidy. Overall a good experience if you intend to have an affordable and nice accommodation for your stay in Bangkok.,a week ago,en
Seifu,"Bangkok, Thailand",Japanese,0,4.7,485,Julie Monast-Nadeau,5,"Fantastic restaurant. We loved att he food we tried (Massamam beef, turmeric seabass, thai ice tea, mango sticky rice). But what makes this place so amazing is the friendly, attentionate and genuinely nice staff. We visited with our 2-year old and felt very welcome and had an amazing meal.",2 weeks ago,en
Seifu,"Bangkok, Thailand",Japanese,0,4.7,485,Cris Hii,5,Love the cooking experience hosted here at Asai. The chef Knot and supervisor Guide are both very friendly and informative about Thai cooking and culture. Highly recommended for cooking enthusiats or someone who just wanna get some hands on activity. Good past time for a hot or rainy afternoon.,3 weeks ago,en
Nai Khlong Boat Noodles,"Phra Nakhon Si Ayutthaya, Thailand",Noodles,0,4.4,772,Eddie Chen,5,Excellent Boat Noodles. Must order the grilled pork/beef balls and chives .,4 months ago,en
Nai Khlong Boat Noodles,"Phra Nakhon Si Ayutthaya, Thailand",Noodles,0,4.4,772,Jidapa Kraisangka,5,"The unique boat noodle restaurant is hidden in the small alley under the big tree next to the canal. The restaurant has a small parking lot around the house, which can pack up to 10-15 spots. The atmosphere overall was nice and homey. The boat noodle (both soup and dry) are just perfect. The grilled pork ball and the sauce are a good appetizer too. Overall 5 stars great place to visit !!!",3 years ago,en
Nai Khlong Boat Noodles,"Phra Nakhon Si Ayutthaya, Thailand",Noodles,0,4.4,772,Passport And Stamps,5,"It was fun! We were the only foreigners but the owners made sure we were welcomed. They gave us a number and waited around 40 minutes. In total we ordered 1 passion fruit juice, 1 water, 6 noodles bowl (3 pork, 2 beer and 1 dried noodles). We received 4 and were all beef 😂 Bless them 🫶 The noodle were amazing and the beef was soooo good but we wanted to try the pork. We ordered again one pork and one dry noodle and only received the dry noodles 🙈 It was good but again no pork 😂 Anyway, the food is delicious regardless if we revived our order or not. The only thing is that the drink took way longer and received it when we finished to eat. For the rest it was good. 20thb per bowl!",a year ago,en
Nai Khlong Boat Noodles,"Phra Nakhon Si Ayutthaya, Thailand",Noodles,0,4.4,772,phiphob sodsee,4,Like the taste even though not that very authentic. Good ambient. Parking is okay. The plus is the sweet menu.,2 years ago,en
Nai Khlong Boat Noodles,"Phra Nakhon Si Ayutthaya, Thailand",Noodles,0,4.4,772,nuh 8AE,5,It was good about beef noodles and reasonable price but the meatball not much recommend.,4 years ago,en
Pad Thai Bua Dang,"Udon Thani, Thailand",Thai,0,4.6,193,Sarobol Montreerak,4,"If you're craving Pad Thai in Udon Thani, this spot is a must-try. Despite limited parking, it's worth the hassle. It's an outdoor place.

Open every day, it's convenient for any schedule. The highlight? Their Pad Thai is top-notch, with a variety of choices to suit every palate. What sets it apart is the ability to customize your dish to perfection. Whether you prefer it spicy, loaded with veggies, or with extra protein, they've got you covered. The flavors are authentic, leaving you satisfied with every bite. The ambiance adds to the experience, making it perfect for a casual lunch or dinner outing. However, be prepared for potential parking challenges, especially during peak hours.

Despite this drawback, the quality of the food makes it a go-to spot for Pad Thai enthusiasts in the area. Overall, if you're in Udon Thani and craving delicious Pad Thai with options galore, this place won't disappoint.",a year ago,en
